// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		9.700512	-0.468185	1.727579	-0.575608	0.364875	0.162204	0.999962	-0.007195	0.004561	0.002028	-0.084380	-0.155139	0.984282	0.732696	-0.679118	-0.044228	0.675305	0.717447	0.170974
10840		10.085542	-1.121784	1.062343	-0.834971	0.321573	-0.005788	0.999937	-0.010437	0.004020	-0.000072	-0.089973	-0.160745	0.982887	0.718435	-0.693955	-0.047727	0.689751	0.701846	0.177922
10841		9.952109	-2.050434	0.623017	-0.676852	0.309406	-0.066835	0.999956	-0.008461	0.003868	-0.000835	-0.095738	-0.161968	0.982141	0.704579	-0.707996	-0.048076	0.703138	0.687393	0.181901
10842		9.899131	-1.361891	1.269855	-0.397301	0.322317	-0.088346	0.999979	-0.004966	0.004029	-0.001104	-0.097405	-0.166168	0.981275	0.695789	-0.716344	-0.052239	0.711611	0.677672	0.185393
10843		10.200788	-1.640167	1.210452	-0.414960	0.298845	-0.169938	0.999977	-0.005187	0.003736	-0.002124	-0.099451	-0.171249	0.980195	0.686940	-0.724485	-0.056877	0.719877	0.667679	0.189689
10844		9.893390	-1.967008	0.400193	-0.318886	0.277068	-0.248528	0.999981	-0.003986	0.003463	-0.003107	-0.101347	-0.174230	0.979476	0.677543	-0.733009	-0.060283	0.728467	0.657527	0.192337
10845		9.265761	-1.641259	0.189826	-0.269977	0.224225	-0.295430	0.999984	-0.003375	0.002803	-0.003693	-0.099462	-0.174252	0.979665	0.669930	-0.739699	-0.063554	0.735732	0.649986	0.190309
10846		9.438302	-2.195527	0.148295	-0.141698	0.176850	-0.318673	0.999988	-0.001771	0.002211	-0.003983	-0.095104	-0.169477	0.980935	0.666569	-0.742717	-0.063694	0.739352	0.647803	0.183604
10847		9.450817	-2.021701	0.418430	-0.037353	0.141391	-0.338584	0.999989	-0.000467	0.001767	-0.004232	-0.088363	-0.165626	0.982222	0.663622	-0.745156	-0.065950	0.742831	0.645996	0.175757
10848		9.333896	-2.067395	0.775370	0.047938	0.116880	-0.372397	0.999988	0.000599	0.001461	-0.004655	-0.084126	-0.162156	0.983173	0.661240	-0.747207	-0.066659	0.745443	0.644505	0.170083
10849		9.182076	-2.227073	0.415541	0.138521	0.103785	-0.410208	0.999985	0.001731	0.001297	-0.005128	-0.078055	-0.165256	0.983157	0.652067	-0.754439	-0.075042	0.754133	0.635227	0.166646
10850		9.546058	-2.397177	0.222283	0.264218	0.104073	-0.426919	0.999979	0.003303	0.001301	-0.005336	-0.067368	-0.166042	0.983815	0.645580	-0.759070	-0.083904	0.760715	0.629479	0.158330
10851		9.593464	-1.245197	0.526342	0.391257	0.145455	-0.454231	0.999970	0.004891	0.001818	-0.005678	-0.067366	-0.155433	0.985547	0.654073	-0.752801	-0.074018	0.753426	0.639633	0.152378
10852		10.048629	-0.533585	1.280999	0.200657	0.186755	-0.511955	0.999974	0.002508	0.002334	-0.006399	-0.067938	-0.149530	0.986420	0.654094	-0.753248	-0.069135	0.753357	0.640514	0.148981
10853		10.622255	-1.393329	1.056347	0.071567	0.258831	-0.565752	0.999969	0.000895	0.003235	-0.007072	-0.067702	-0.138405	0.988059	0.663442	-0.745896	-0.059024	0.745159	0.651523	0.142322
10854		10.330209	-1.228246	0.690026	0.049955	0.414376	-0.583925	0.999960	0.000624	0.005180	-0.007299	-0.072208	-0.127727	0.989177	0.679369	-0.732416	-0.044980	0.730235	0.668769	0.139660
10855		9.674117	-1.029528	-0.081055	-0.010639	0.491289	-0.615803	0.999952	-0.000133	0.006141	-0.007697	-0.086860	-0.127638	0.988010	0.675924	-0.736108	-0.035672	0.731835	0.664721	0.150212
10856		9.177687	-1.307204	-0.222351	0.158221	0.494824	-0.651948	0.999946	0.001978	0.006185	-0.008149	-0.096168	-0.127796	0.987127	0.670875	-0.740940	-0.030566	0.735308	0.659300	0.156989
10857		8.414428	-1.629152	0.224001	0.376607	0.511241	-0.675593	0.999933	0.004707	0.006390	-0.008445	-0.112223	-0.124609	0.985839	0.672039	-0.740319	-0.017074	0.731963	0.660606	0.166823
10858		8.497958	-2.611807	0.519436	0.841336	0.486983	-0.540523	0.999903	0.010516	0.006087	-0.006756	-0.122224	-0.124452	0.984669	0.676642	-0.736256	-0.009065	0.726097	0.665160	0.174198
10859		10.203784	-2.556111	1.295873	1.229157	0.163904	-0.238280	0.999875	0.015364	0.002049	-0.002978	-0.122766	-0.124019	0.984656	0.690096	-0.723700	-0.005110	0.713229	0.678880	0.174431
10860		10.566432	-2.208409	4.964411	1.311692	0.104490	0.073327	0.999864	0.016395	0.001306	0.000917	-0.116574	-0.126456	0.985099	0.708939	-0.705238	-0.006636	0.695568	0.697602	0.171862
