// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		9.012399	-1.931064	6.328686	0.132333	0.010048	0.013731	0.999999	0.001654	0.000126	0.000172	0.210151	0.553092	0.806180	-0.809724	0.560571	-0.173514	-0.547890	-0.616319	0.565657
10840		9.145087	-2.101354	6.117565	0.291588	0.017938	0.019965	0.999993	0.003645	0.000224	0.000250	0.209990	0.553648	0.805840	-0.813801	0.555788	-0.169787	-0.541878	-0.620140	0.567269
10841		9.606738	-1.949808	6.020672	0.407021	-0.009832	0.080670	0.999987	0.005088	-0.000123	0.001008	0.208218	0.554696	0.805579	-0.819683	0.548328	-0.165698	-0.533633	-0.625819	0.568847
10842		9.674612	-1.517613	6.023646	0.326539	-0.075265	0.132818	0.999990	0.004082	-0.000941	0.001660	0.204467	0.555321	0.806109	-0.824689	0.541360	-0.163758	-0.527334	-0.631306	0.568658
10843		9.385255	-1.371889	5.936523	0.207881	-0.190811	0.109184	0.999993	0.002599	-0.002385	0.001365	0.199692	0.553799	0.808350	-0.827948	0.536573	-0.163072	-0.524047	-0.636707	0.565666
10844		9.203180	-1.492274	5.991598	0.175544	-0.287199	0.048805	0.999991	0.002194	-0.003590	0.000610	0.194920	0.549669	0.812324	-0.830473	0.533141	-0.161481	-0.521844	-0.643137	0.560405
10845		9.212099	-1.638173	6.222423	0.167294	-0.325521	0.012159	0.999990	0.002091	-0.004069	0.000152	0.190449	0.544359	0.816947	-0.832694	0.530337	-0.159261	-0.519953	-0.649936	0.554286
10846		9.101141	-1.762419	6.308154	0.178116	-0.295806	0.016933	0.999991	0.002226	-0.003698	0.000212	0.186280	0.539367	0.821208	-0.835087	0.527273	-0.156884	-0.517619	-0.656556	0.548639
10847		8.992346	-1.903798	6.199366	0.308168	-0.224279	0.016822	0.999989	0.003852	-0.002803	0.000210	0.183147	0.535750	0.824275	-0.839129	0.522017	-0.152845	-0.512172	-0.663680	0.545169
10848		9.006690	-1.917391	5.957808	0.551413	-0.146938	-0.004453	0.999975	0.006893	-0.001837	-0.000056	0.181381	0.533121	0.826367	-0.846076	0.512909	-0.145190	-0.501255	-0.672834	0.544093
