// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		9.753260	1.496169	0.162118	-0.024760	0.081524	-0.025040	0.999999	-0.000310	0.001019	-0.000313	0.101860	0.112932	0.988368	-0.733652	-0.662466	0.151303	0.671847	-0.740530	0.015373
10840		10.257147	1.622622	0.105787	0.054566	0.051062	0.054933	0.999999	0.000682	0.000638	0.000687	0.099995	0.112966	0.988554	-0.732874	-0.663631	0.149968	0.672977	-0.739481	0.016430
10841		10.327375	1.780910	0.192762	0.020357	0.048127	0.128464	0.999998	0.000254	0.000602	0.001606	0.096825	0.111700	0.989014	-0.732838	-0.664382	0.146781	0.673478	-0.738999	0.017529
10842		10.235639	1.679276	0.252315	0.027369	0.050222	0.145561	0.999998	0.000342	0.000628	0.001820	0.093323	0.110178	0.989521	-0.732703	-0.665315	0.143182	0.674119	-0.738387	0.018639
10843		10.201230	1.628188	0.307668	0.077909	0.007307	0.179911	0.999997	0.000974	0.000091	0.002249	0.089934	0.107369	0.990143	-0.731802	-0.667229	0.138821	0.675557	-0.737074	0.018566
10844		10.193755	1.926131	0.309653	0.056156	-0.028916	0.204803	0.999996	0.000702	-0.000361	0.002560	0.086716	0.103541	0.990838	-0.731317	-0.668767	0.133888	0.676503	-0.736227	0.017728
10845		9.816046	1.829398	0.230765	0.015615	-0.008548	0.187752	0.999997	0.000195	-0.000107	0.002347	0.083532	0.100380	0.991437	-0.731410	-0.669546	0.129413	0.676802	-0.735957	0.017491
10846		9.525761	1.930879	0.488928	-0.005069	0.005179	0.178723	0.999998	-0.000063	0.000065	0.002234	0.080379	0.097756	0.991959	-0.731813	-0.669885	0.125315	0.676749	-0.736001	0.017695
10847		9.591078	1.872799	0.348996	-0.031770	-0.023914	0.186138	0.999997	-0.000397	-0.000299	0.002327	0.077656	0.094610	0.992481	-0.732609	-0.669777	0.121170	0.676205	-0.736510	0.017300
10848		9.345864	1.767051	0.318096	0.057057	-0.022264	0.197842	0.999997	0.000713	-0.000278	0.002473	0.074801	0.091475	0.992994	-0.731883	-0.671316	0.116974	0.677313	-0.735505	0.016734
10849		9.214166	1.883798	0.369499	0.130019	-0.000097	0.221108	0.999995	0.001625	-0.000001	0.002764	0.071313	0.088590	0.993512	-0.729936	-0.674192	0.112510	0.679785	-0.733224	0.016587
10850		9.366273	2.036627	0.548104	0.191884	0.002730	0.230442	0.999993	0.002399	0.000034	0.002881	0.067696	0.085678	0.994020	-0.726847	-0.678261	0.107962	0.683455	-0.729809	0.016359
10851		9.502951	1.965464	0.276147	0.259723	0.010239	0.222769	0.999991	0.003247	0.000128	0.002785	0.064268	0.083473	0.994435	-0.722502	-0.683491	0.104066	0.688375	-0.725170	0.016383
10852		9.686096	2.113952	0.331282	0.424112	-0.022858	0.189818	0.999983	0.005301	-0.000286	0.002373	0.062187	0.081303	0.994748	-0.715134	-0.691617	0.101234	0.696215	-0.717674	0.015133
10853		9.901452	2.652812	0.583989	0.474383	-0.051323	0.199164	0.999979	0.005930	-0.000642	0.002490	0.060688	0.078628	0.995055	-0.706741	-0.700587	0.098463	0.704864	-0.709222	0.013053
10854		9.665853	2.665953	0.620705	0.533732	-0.057663	0.184324	0.999975	0.006672	-0.000721	0.002304	0.059949	0.076441	0.995270	-0.697086	-0.710456	0.096554	0.714477	-0.699577	0.010695
10855		9.437460	2.571661	0.587937	0.607032	-0.078393	0.156093	0.999969	0.007588	-0.000980	0.001951	0.060514	0.074938	0.995350	-0.685889	-0.721345	0.096009	0.725185	-0.688510	0.007748
10856		9.268982	2.153268	0.291848	0.752921	-0.069972	0.168662	0.999953	0.009411	-0.000875	0.002108	0.060654	0.073808	0.995426	-0.671579	-0.734766	0.095401	0.738447	-0.674293	0.005002
10857		8.565489	1.726717	0.985288	0.758812	0.005227	0.196511	0.999952	0.009485	0.000065	0.002456	0.059329	0.073546	0.995526	-0.657058	-0.747905	0.094411	0.751502	-0.659719	0.003952
10858		9.651404	0.531421	1.223518	0.458581	-0.034466	0.160881	0.999981	0.005732	-0.000431	0.002011	0.058985	0.072986	0.995587	-0.647907	-0.755922	0.093802	0.759432	-0.650581	0.002700
10859		10.913955	-0.609914	0.672013	0.345089	0.002045	0.058356	0.999990	0.004314	0.000026	0.000729	0.059348	0.075255	0.995397	-0.640615	-0.761863	0.095794	0.765565	-0.643352	0.002994
10860		10.839055	-0.327665	0.794207	0.265925	0.122907	0.111229	0.999992	0.003324	0.001536	0.001390	0.055509	0.077823	0.995421	-0.634947	-0.766650	0.095345	0.770559	-0.637331	0.006857
10861		10.665971	-0.454431	1.061507	0.037172	0.201239	0.224554	0.999993	0.000465	0.002515	0.002807	0.047710	0.078917	0.995739	-0.633897	-0.768016	0.091242	0.771944	-0.635549	0.013384
10862		10.323566	-0.887958	0.899188	-0.142338	0.173489	0.274950	0.999990	-0.001779	0.002169	0.003437	0.039407	0.077979	0.996176	-0.636873	-0.766250	0.085175	0.769961	-0.637794	0.019467
10863		10.230869	-1.393948	0.203909	-0.284284	0.096399	0.367664	0.999982	-0.003554	0.001205	0.004596	0.030063	0.073626	0.996833	-0.642070	-0.762898	0.075711	0.766056	-0.642313	0.024338
10864		10.042948	-2.329350	-0.625353	-0.270713	0.021516	0.454513	0.999978	-0.003384	0.000269	0.005681	0.020576	0.065413	0.997646	-0.647185	-0.759712	0.063160	0.762056	-0.646961	0.026702
10865		9.298750	-2.516342	-0.642769	-0.143153	0.003272	0.460308	0.999982	-0.001789	0.000041	0.005754	0.011193	0.056024	0.998367	-0.649918	-0.758368	0.049843	0.759922	-0.649414	0.027923
10866		9.114847	-2.124036	-0.570109	0.081385	-0.035520	0.361857	0.999989	0.001017	-0.000444	0.004523	0.003981	0.047526	0.998862	-0.648816	-0.759958	0.038745	0.760935	-0.648232	0.027810
10867		9.057798	-1.096865	-0.094152	0.148536	-0.019091	0.258358	0.999993	0.001857	-0.000239	0.003229	-0.002107	0.040706	0.999169	-0.646214	-0.762578	0.029705	0.763154	-0.645614	0.027911
10868		9.525666	-0.504129	0.317577	0.175535	-0.006730	0.190459	0.999995	0.002194	-0.000084	0.002381	-0.007298	0.034970	0.999362	-0.643054	-0.765502	0.022091	0.765786	-0.642482	0.028074
10869		9.673566	-0.751457	0.915131	0.099811	0.054635	0.115879	0.999998	0.001248	0.000683	0.001448	-0.012471	0.031725	0.999419	-0.641369	-0.767058	0.016346	0.767131	-0.640792	0.029914
10870		9.395091	-1.128451	0.790544	0.104794	0.000279	0.040611	0.999999	0.001310	0.000003	0.000508	-0.015286	0.029084	0.999460	-0.639856	-0.768392	0.012574	0.768343	-0.639318	0.030355
10871		9.748057	-1.074093	0.881482	0.183752	-0.057207	-0.005840	0.999997	0.002297	-0.000715	-0.000073	-0.016536	0.026432	0.999514	-0.636610	-0.771123	0.009860	0.771009	-0.636137	0.029578
10872		9.746151	-0.791294	0.680799	0.158596	-0.095909	0.021517	0.999997	0.001982	-0.001199	0.000269	-0.017562	0.022635	0.999590	-0.633625	-0.773614	0.006385	0.773441	-0.633252	0.027929
10873		9.574965	-1.127134	0.546250	0.058508	-0.062799	-0.022542	0.999999	0.000731	-0.000785	-0.000282	-0.018217	0.020285	0.999628	-0.632688	-0.774395	0.004184	0.774192	-0.632377	0.026941
10874		9.518933	-1.632259	0.654295	0.166400	-0.071814	-0.071069	0.999997	0.002080	-0.000898	-0.000888	-0.018216	0.018730	0.999659	-0.629964	-0.776619	0.003072	0.776411	-0.629693	0.025947
10875		9.584250	-1.209245	0.556480	0.257681	-0.052879	-0.092016	0.999994	0.003221	-0.000661	-0.001150	-0.018014	0.017838	0.999679	-0.624974	-0.780641	0.002668	0.780438	-0.624725	0.025211
10876		9.620448	-0.804321	0.618430	0.228572	-0.040217	-0.106482	0.999995	0.002857	-0.000503	-0.001331	-0.017879	0.017449	0.999688	-0.620264	-0.784389	0.002598	0.784189	-0.620024	0.024847
10877		10.121251	-1.074966	0.698736	0.261226	-0.035743	-0.083963	0.999994	0.003265	-0.000447	-0.001050	-0.018217	0.016776	0.999693	-0.615218	-0.788355	0.002018	0.788147	-0.614992	0.024682
10878		10.130835	-1.505571	0.755661	0.412035	-0.113063	-0.068307	0.999985	0.005150	-0.001413	-0.000854	-0.017322	0.014678	0.999742	-0.607342	-0.794440	0.001141	0.794252	-0.607166	0.022676
10879		9.597238	-0.821388	0.739694	0.411603	-0.152098	-0.095186	0.999984	0.005145	-0.001901	-0.001190	-0.015264	0.012501	0.999805	-0.600039	-0.799971	0.000841	0.799825	-0.599909	0.019712
10880		9.171465	-0.507152	0.843728	0.244997	-0.181811	-0.125226	0.999992	0.003062	-0.002273	-0.001565	-0.012069	0.010604	0.999871	-0.594944	-0.803766	0.001343	0.803677	-0.594851	0.016010
10881		9.611096	-1.084355	0.782949	0.241539	-0.161247	-0.139929	0.999992	0.003019	-0.002016	-0.001749	-0.008594	0.009629	0.999917	-0.589982	-0.807412	0.002705	0.807371	-0.589910	0.012620
10882		10.471339	-0.951983	0.702823	0.356660	-0.100914	-0.076681	0.999989	0.004458	-0.001261	-0.000959	-0.007480	0.008239	0.999938	-0.582526	-0.812809	0.002340	0.812778	-0.582472	0.010879
