// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		9.167768	0.344498	-3.535926	0.209711	-0.308043	-0.439545	0.999974	0.002621	-0.003850	-0.005494	-0.123860	0.335133	0.933994	0.962440	0.269737	0.030846	-0.241596	0.902733	-0.355955
10840		9.210521	0.630794	-4.078837	-0.041016	-0.424005	-0.328042	0.999977	-0.000513	-0.005300	-0.004100	-0.134298	0.342465	0.929883	0.961628	0.271592	0.038859	-0.239241	0.899419	-0.365798
10841		9.239946	0.641898	-4.564706	-0.289870	-0.513544	-0.165290	0.999971	-0.003623	-0.006419	-0.002066	-0.141379	0.358584	0.922730	0.963278	0.264760	0.044703	-0.228272	0.895165	-0.382847
10842		9.079180	1.042564	-4.684260	-0.364315	-0.530076	0.032121	0.999968	-0.004554	-0.006626	0.000402	-0.145042	0.371896	0.916873	0.964942	0.258042	0.047981	-0.218748	0.891688	-0.396285
10843		8.921182	1.413958	-5.037320	-0.488435	-0.498122	0.279570	0.999956	-0.006105	-0.006226	0.003495	-0.144554	0.386616	0.910842	0.967335	0.248943	0.047854	-0.208247	0.888007	-0.409973
10844		8.726754	1.286137	-4.913944	-0.557263	-0.413795	0.497990	0.999943	-0.006966	-0.005172	0.006225	-0.141113	0.402517	0.904471	0.969829	0.239660	0.044654	-0.198792	0.883484	-0.424191
10845		8.734270	1.623586	-4.272443	-0.623223	-0.333630	0.666471	0.999926	-0.007790	-0.004170	0.008331	-0.135123	0.417695	0.898483	0.972404	0.229963	0.039333	-0.190189	0.879004	-0.437242
10846		8.797870	1.643834	-3.893542	-0.606349	-0.250316	0.810783	0.999915	-0.007579	-0.003129	0.010134	-0.124174	0.430070	0.894215	0.976209	0.214388	0.032451	-0.177752	0.876970	-0.446460
10847		8.786190	1.282124	-3.841591	-0.646323	-0.161112	0.902025	0.999902	-0.008079	-0.002014	0.011275	-0.108519	0.437605	0.892595	0.981239	0.191089	0.025612	-0.159357	0.878628	-0.450132
10848		8.640277	1.217926	-3.435135	-0.586602	-0.063094	0.951153	0.999902	-0.007332	-0.000789	0.011889	-0.088892	0.441041	0.893074	0.986364	0.163663	0.017354	-0.138509	0.882438	-0.449576
10849		8.885384	1.098445	-2.956111	-0.564937	0.005444	0.964868	0.999902	-0.007061	0.000068	0.012060	-0.065961	0.439850	0.895646	0.991569	0.129230	0.009561	-0.111539	0.888725	-0.444665
10850		9.184733	0.474243	-2.586500	-0.411526	0.078180	0.864418	0.999928	-0.005144	0.000977	0.010805	-0.037235	0.431371	0.901406	0.996580	0.082615	0.001630	-0.073767	0.898384	-0.432972
10851		9.485321	0.200822	-2.710888	-0.138850	0.186642	0.715858	0.999956	-0.001736	0.002333	0.008948	-0.014145	0.419187	0.907790	0.998733	0.049770	-0.007420	-0.048291	0.906535	-0.419360
10852		9.375135	-0.416831	-2.869819	0.283060	0.337185	0.497338	0.999966	0.003538	0.004215	0.006217	-0.000377	0.406682	0.913570	0.998652	0.047572	-0.020765	-0.051905	0.912330	-0.406152
10853		9.538455	0.374789	-2.217355	0.631077	0.494884	0.251948	0.999945	0.007888	0.006186	0.003149	0.011198	0.385613	0.922593	0.998642	0.042634	-0.029940	-0.050879	0.921675	-0.384612
10854		9.555976	0.057726	-2.225570	0.879115	0.599593	0.066973	0.999911	0.010989	0.007495	0.000837	0.016799	0.363308	0.931518	0.997640	0.055943	-0.039810	-0.066575	0.929988	-0.361511
10855		9.072389	0.380763	-3.017795	1.225159	0.689152	-0.200575	0.999842	0.015314	0.008614	-0.002507	0.018075	0.335472	0.941877	0.996421	0.071755	-0.044679	-0.082573	0.939313	-0.332974
10856		7.901692	2.005293	-3.115092	1.165968	0.735287	-0.460591	0.999835	0.014574	0.009191	-0.005757	0.010853	0.313009	0.949688	0.995010	0.090827	-0.041306	-0.099187	0.945397	-0.310461
10857		8.966201	2.048834	-2.741712	0.858300	0.702468	-0.408551	0.999891	0.010728	0.008781	-0.005107	0.003941	0.291805	0.956470	0.994682	0.097298	-0.033782	-0.102920	0.951516	-0.289869
10858		11.228535	1.137381	-1.093901	-0.060822	0.732754	-0.240069	0.999953	-0.000760	0.009159	-0.003001	-0.000436	0.271440	0.962455	0.996260	0.083275	-0.023034	-0.086401	0.958846	-0.270461
10859		10.310469	-2.107564	-1.593234	-0.363070	0.674277	-0.271782	0.999948	-0.004538	0.008428	-0.003397	-0.008401	0.248319	0.968642	0.998117	0.060946	-0.006968	-0.060766	0.966759	-0.248363
10860		9.952567	0.353467	-0.015576	-0.171133	0.595988	-0.387686	0.999958	-0.002139	0.007450	-0.004846	-0.013467	0.229818	0.973140	0.999006	0.044458	0.003326	-0.042499	0.972218	-0.230188
10861		10.299558	1.482236	0.571265	-0.463185	0.435904	-0.354960	0.999959	-0.005790	0.005449	-0.004437	-0.019132	0.212439	0.976987	0.999810	0.007771	0.017889	-0.003792	0.977143	-0.212547
10862		10.108525	1.969206	-0.315264	-0.449075	0.356115	-0.264821	0.999969	-0.005613	0.004451	-0.003310	-0.026659	0.196303	0.980181	0.999356	-0.018322	0.030850	0.024015	0.980372	-0.195688
10863		9.997844	1.753661	-1.197929	-0.350667	0.291602	-0.176693	0.999981	-0.004383	0.003645	-0.002209	-0.029601	0.182167	0.982822	0.997969	-0.050104	0.039344	0.056410	0.981990	-0.180314
10864		9.649620	1.656846	-1.368672	-0.291418	0.257751	-0.095838	0.999987	-0.003643	0.003222	-0.001198	-0.034293	0.170154	0.984821	0.996923	-0.063670	0.045715	0.070482	0.983358	-0.167447
10865		9.443114	0.921635	-1.317370	-0.173193	0.248568	-0.056401	0.999993	-0.002165	0.003107	-0.000705	-0.034399	0.159329	0.986626	0.994387	-0.093378	0.049749	0.100055	0.982800	-0.155222
10866		9.482200	0.430057	-1.703908	-0.067476	0.254047	-0.047545	0.999994	-0.000843	0.003176	-0.000594	-0.037661	0.149183	0.988092	0.992972	-0.105433	0.053765	0.112198	0.983173	-0.144164
10867		9.315576	0.715416	-1.673655	-0.127245	0.284485	-0.040295	0.999992	-0.001591	0.003556	-0.000504	-0.039397	0.139900	0.989382	0.991587	-0.116710	0.055988	0.123304	0.983263	-0.134125
10868		9.842844	0.436623	-1.101109	-0.251027	0.263904	-0.047832	0.999989	-0.003138	0.003299	-0.000598	-0.040845	0.131311	0.990499	0.988270	-0.140688	0.059404	0.147152	0.981307	-0.124024
10869		9.607474	0.187899	-0.690653	-0.285710	0.258955	-0.064780	0.999988	-0.003571	0.003237	-0.000810	-0.045615	0.122946	0.991364	0.985350	-0.157713	0.064898	0.164330	0.979801	-0.113951
10870		9.752328	0.241498	-0.157596	-0.238532	0.196861	-0.098693	0.999992	-0.002982	0.002461	-0.001234	-0.048199	0.117281	0.991928	0.984221	-0.163694	0.067179	0.170251	0.979515	-0.107540
10871		9.878393	0.805559	0.041841	-0.133660	0.153685	-0.114668	0.999996	-0.001671	0.001921	-0.001433	-0.050531	0.112484	0.992368	0.981729	-0.176923	0.070043	0.183451	0.977776	-0.101488
10872		9.776590	0.994012	-0.758900	0.015479	0.121144	-0.116279	0.999998	0.000193	0.001514	-0.001453	-0.054026	0.108203	0.992660	0.981248	-0.178451	0.072856	0.185025	0.977981	-0.096533
10873		9.451462	0.232413	-1.345872	-0.001872	0.105157	-0.129612	0.999998	-0.000023	0.001314	-0.001620	-0.058042	0.104486	0.992831	0.980174	-0.182759	0.076536	0.189445	0.977590	-0.091806
10874		9.716821	0.729446	-0.660400	-0.105198	0.066612	-0.143135	0.999997	-0.001315	0.000833	-0.001789	-0.061380	0.101920	0.992897	0.978733	-0.188941	0.079899	0.195743	0.976685	-0.088156
10875		9.587533	2.148252	-0.115197	-0.085411	0.044217	-0.134845	0.999998	-0.001068	0.000553	-0.001686	-0.064489	0.100271	0.992868	0.976741	-0.197541	0.083391	0.204494	0.975153	-0.085199
10876		9.437346	1.418800	-1.255266	0.007483	0.048225	-0.090095	0.999999	0.000094	0.000603	-0.001126	-0.067824	0.098343	0.992839	0.975654	-0.201488	0.086608	0.208562	0.974542	-0.082283
10877		9.707874	1.582814	-1.510479	0.009467	0.056172	-0.053969	1.000000	0.000118	0.000702	-0.000675	-0.070597	0.096405	0.992835	0.974765	-0.204645	0.089183	0.211776	0.974077	-0.079525
10878		10.177292	1.456965	-0.926915	0.055193	0.057096	-0.023192	0.999999	0.000690	0.000714	-0.000290	-0.072904	0.094604	0.992842	0.975134	-0.202133	0.090865	0.209282	0.974778	-0.077515
10879		9.879269	2.201007	-0.281500	0.103156	0.038965	0.026931	0.999999	0.001289	0.000487	0.000337	-0.073894	0.092868	0.992933	0.976136	-0.197138	0.091082	0.204204	0.975967	-0.076085
10880		9.613254	1.272048	-0.539803	0.172308	0.019798	0.063065	0.999997	0.002154	0.000247	0.000788	-0.072533	0.091548	0.993156	0.976927	-0.194039	0.089234	0.200880	0.976713	-0.075361
10881		8.776103	-0.299844	-1.705670	0.044373	0.031708	0.035592	1.000000	0.000555	0.000396	0.000445	-0.074055	0.089972	0.993187	0.977606	-0.190168	0.090120	0.196981	0.977620	-0.073874
10882		10.208397	-0.256322	-0.878350	-0.219728	-0.031332	0.005225	0.999996	-0.002747	-0.000392	0.000065	-0.074879	0.090171	0.993107	0.977053	-0.192508	0.091147	0.199400	0.977144	-0.073687
10883		9.958310	1.390033	0.448953	-0.091935	-0.071187	-0.030505	0.999999	-0.001149	-0.000890	-0.000381	-0.076183	0.091120	0.992922	0.978046	-0.186887	0.092192	0.193965	0.978146	-0.074882
10884		9.529160	1.279565	-0.270619	0.001070	-0.088645	-0.017503	0.999999	0.000013	-0.001108	-0.000219	-0.077345	0.092494	0.992705	0.978885	-0.181920	0.093218	0.189215	0.978953	-0.076471
10885		9.453477	1.066377	-1.556465	0.035296	-0.076763	-0.014485	0.999999	0.000441	-0.000960	-0.000181	-0.077964	0.093778	0.992536	0.979221	-0.179748	0.093901	0.187213	0.979232	-0.077815
10886		9.801549	1.057344	-1.494774	-0.122188	-0.096421	0.008588	0.999998	-0.001527	-0.001205	0.000107	-0.077902	0.095589	0.992368	0.978992	-0.180800	0.094268	0.188431	0.978864	-0.079496
10887		9.593845	0.857470	-1.036019	-0.057309	-0.090866	0.000928	0.999999	-0.000716	-0.001136	0.000012	-0.078304	0.097430	0.992157	0.979195	-0.179363	0.094895	0.187202	0.978946	-0.081358
10888		9.761048	1.165727	-0.797926	-0.080768	-0.090082	0.008763	0.999999	-0.001010	-0.001126	0.000110	-0.078255	0.099397	0.991966	0.978948	-0.180490	0.095313	0.188514	0.978542	-0.083180
