// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		9.915989	0.711536	6.840168	0.242411	0.038390	-0.218626	0.999992	0.003030	0.000480	-0.002733	-0.202988	0.531854	0.822148	-0.901573	-0.429116	0.055000	0.382049	-0.730063	0.566610
10840		10.046226	0.889611	6.812439	0.145668	0.122489	-0.232013	0.999993	0.001821	0.001531	-0.002900	-0.198933	0.536572	0.820071	-0.901343	-0.428670	0.061831	0.384716	-0.726865	0.568912
10841		10.289493	0.780481	6.822497	-0.026674	0.153616	-0.209562	0.999995	-0.000333	0.001920	-0.002620	-0.195681	0.541579	0.817558	-0.902629	-0.425369	0.065736	0.383365	-0.725089	0.572082
10842		10.336888	0.372099	6.295362	-0.163217	0.177503	-0.115583	0.999994	-0.002040	0.002219	-0.001445	-0.194748	0.546014	0.814826	-0.904750	-0.420835	0.065761	0.378814	-0.724408	0.575963
10843		10.422152	0.033725	6.271770	-0.261078	0.288706	0.020436	0.999988	-0.003263	0.003609	0.000255	-0.197920	0.550872	0.810782	-0.907096	-0.416409	0.061491	0.371491	-0.723287	0.582109
10844		10.516408	-0.112876	6.644026	-0.558877	0.371450	0.159769	0.999963	-0.006986	0.004643	0.001997	-0.204983	0.555578	0.805801	-0.911379	-0.408541	0.049837	0.356891	-0.724174	0.590085
10845		9.958856	-0.187078	6.564075	-0.632770	0.434506	0.310711	0.999946	-0.007909	0.005431	0.003884	-0.215964	0.559827	0.799971	-0.915277	-0.401404	0.033814	0.340041	-0.724892	0.599085
10846		9.874635	-0.447886	6.662229	-0.468463	0.448152	0.391942	0.999955	-0.005856	0.005602	0.004899	-0.228868	0.563275	0.793940	-0.917012	-0.398438	0.018332	0.326662	-0.723857	0.607720
10847		9.480156	-0.284500	6.931318	-0.414980	0.397822	0.446198	0.999959	-0.005187	0.004973	0.005577	-0.242581	0.565077	0.788570	-0.917723	-0.397215	0.002327	0.314547	-0.723124	0.614941
10848		9.145411	-0.370482	6.981369	-0.334002	0.208499	0.506729	0.999968	-0.004175	0.002606	0.006334	-0.256060	0.562920	0.785846	-0.917175	-0.398255	-0.013573	0.305326	-0.724234	0.618273
10849		9.084575	-0.604411	6.702876	-0.108241	0.172156	0.510334	0.999976	-0.001353	0.002152	0.006379	-0.269352	0.560033	0.783462	-0.914668	-0.403360	-0.026131	0.301383	-0.723647	0.620890
10850		9.280816	-0.371757	6.801906	0.101846	0.177437	0.477039	0.999979	0.001273	0.002218	0.005963	-0.281824	0.557467	0.780901	-0.910628	-0.411768	-0.034690	0.302211	-0.720887	0.623691
10851		9.384727	0.353686	7.538333	0.181664	0.100420	0.402975	0.999984	0.002271	0.001255	0.005037	-0.291949	0.554163	0.779531	-0.906411	-0.420442	-0.040579	0.305260	-0.718423	0.625047
10852		9.688710	0.038470	7.969259	0.279645	-0.023739	0.332702	0.999985	0.003496	-0.000297	0.004159	-0.299324	0.549424	0.780089	-0.901882	-0.429802	-0.043343	0.311470	-0.716522	0.624166
10853		9.362969	-0.998571	7.614176	0.591416	-0.086700	0.279751	0.999966	0.007393	-0.001084	0.003497	-0.304778	0.544308	0.781562	-0.895140	-0.444001	-0.039851	0.325323	-0.711753	0.622553
10854		9.305086	-0.822045	7.092619	0.894961	-0.272768	0.207232	0.999928	0.011187	-0.003410	0.002590	-0.307081	0.536759	0.785870	-0.886148	-0.462402	-0.030439	0.347049	-0.705744	0.617643
10855		9.496381	-0.449172	7.634670	1.203333	-0.400941	0.138818	0.999873	0.015041	-0.005012	0.001735	-0.306530	0.527473	0.792346	-0.874226	-0.485284	-0.015147	0.376523	-0.697332	0.609884
10856		9.130190	-0.761847	7.206950	1.442751	-0.525122	0.095218	0.999815	0.018033	-0.006564	0.001190	-0.303471	0.516674	0.800596	-0.859258	-0.511523	0.004410	0.411802	-0.686580	0.599189
10857		8.356559	-0.864360	4.618949	1.761872	-0.748852	0.199450	0.999711	0.022021	-0.009360	0.002493	-0.299819	0.500892	0.811921	-0.838708	-0.543966	0.025874	0.454618	-0.673207	0.583193
10858		11.236761	1.076498	5.948985	1.590376	-0.838206	0.285956	0.999741	0.019878	-0.010477	0.003574	-0.296075	0.481992	0.824635	-0.817880	-0.573870	0.041772	0.493367	-0.662085	0.564120
10859		10.665576	4.794597	5.818053	0.762607	-0.686292	0.209302	0.999914	0.009532	-0.008578	0.002616	-0.291440	0.466758	0.834985	-0.806977	-0.588677	0.047407	0.513664	-0.659998	0.548227
10860		9.513129	1.303118	4.024763	-0.025717	-0.540255	0.051729	0.999977	-0.000321	-0.006753	0.000647	-0.284232	0.456744	0.842969	-0.807011	-0.588675	0.046853	0.517635	-0.666968	0.535918
10861		9.940812	0.960744	2.110052	-0.097308	-0.516746	0.036570	0.999978	-0.001216	-0.006459	0.000457	-0.276645	0.446957	0.850704	-0.808079	-0.587292	0.045777	0.520072	-0.674772	0.523648
10862		9.959477	0.432423	2.404311	-0.509155	-0.472751	0.068037	0.999962	-0.006364	-0.005909	0.000850	-0.269734	0.436908	0.858112	-0.814417	-0.578983	0.038790	0.513780	-0.688397	0.511996
10863		10.152987	-1.373273	3.217253	-0.452060	-0.404324	0.129706	0.999970	-0.005651	-0.005054	0.001621	-0.264780	0.426641	0.864794	-0.819815	-0.571785	0.031079	0.507736	-0.700742	0.501164
10864		9.916227	-0.550852	3.287056	-0.229199	-0.350761	0.264262	0.999981	-0.002865	-0.004384	0.003303	-0.263379	0.414875	0.870925	-0.821724	-0.569431	0.022755	0.505371	-0.709667	0.490890
