// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		4.293103	-0.105142	11.470112	0.003317	-0.066913	0.269054	0.999994	0.000041	-0.000836	0.003363	0.590160	0.727581	0.349767	-0.774860	0.632089	-0.007446	-0.226502	-0.266626	0.936807
10840		3.856773	0.139743	12.015788	-0.305818	-0.393845	0.040120	0.999980	-0.003823	-0.004923	0.000501	0.587096	0.725579	0.358962	-0.773674	0.633408	-0.014950	-0.238217	-0.268942	0.933232
10841		3.467650	-0.298839	12.293572	-0.514057	-0.634664	-0.131993	0.999947	-0.006426	-0.007933	-0.001650	0.585710	0.719190	0.373778	-0.768553	0.639270	-0.025703	-0.257430	-0.272213	0.927162
10842		3.413608	-0.225606	12.837292	-0.644699	-0.675311	-0.192488	0.999929	-0.008059	-0.008441	-0.002406	0.584887	0.711520	0.389417	-0.761411	0.647110	-0.038758	-0.279573	-0.273838	0.920246
10843		3.347266	0.499702	12.921347	-0.817910	-0.545364	-0.252907	0.999920	-0.010224	-0.006817	-0.003161	0.585810	0.703801	0.401859	-0.751768	0.657131	-0.054986	-0.302773	-0.269894	0.914049
10844		4.172388	0.829858	12.830677	-0.798239	-0.222301	-0.358306	0.999936	-0.009978	-0.002779	-0.004479	0.591066	0.696575	0.406725	-0.740327	0.668664	-0.069314	-0.320245	-0.260140	0.910917
10845		4.174235	1.201628	11.682643	-0.833280	0.094618	-0.399871	0.999933	-0.010416	0.001183	-0.004998	0.599719	0.690596	0.404246	-0.727674	0.680817	-0.083539	-0.332909	-0.244059	0.910828
10846		4.401066	1.748329	10.796487	-0.859704	0.164626	-0.418068	0.999926	-0.010746	0.002058	-0.005226	0.609463	0.684445	0.400111	-0.714263	0.693045	-0.097560	-0.344069	-0.226326	0.911259
10847		4.458977	2.176714	10.122370	-0.888154	0.108200	-0.485815	0.999919	-0.011102	0.001352	-0.006073	0.620111	0.676340	0.397526	-0.699318	0.706199	-0.110623	-0.355551	-0.209398	0.910898
10848		4.567976	2.019494	10.023869	-0.799863	0.004059	-0.519368	0.999929	-0.009998	0.000051	-0.006492	0.630582	0.666527	0.397629	-0.684401	0.719145	-0.120109	-0.366009	-0.196399	0.909651
10849		5.891380	2.330367	10.417714	-0.619389	0.040406	-0.526263	0.999948	-0.007742	0.000505	-0.006578	0.641629	0.656188	0.397153	-0.670853	0.731121	-0.124170	-0.371845	-0.186760	0.909314
