// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10839		10.063166	0.764390	3.142678	-0.033279	0.057081	-0.030801	1.000000	-0.000416	0.000714	-0.000385	-0.296395	-0.072941	0.952276	0.450545	-0.889840	0.072073	0.842116	0.450405	0.296607
10840		10.258798	0.893638	3.288021	-0.238257	0.029716	-0.149954	0.999994	-0.002978	0.000371	-0.001874	-0.298699	-0.069932	0.951782	0.444406	-0.892774	0.073872	0.844560	0.445043	0.297749
10841		10.494501	0.083612	2.997212	-0.055715	-0.021238	-0.207801	0.999996	-0.000696	-0.000265	-0.002598	-0.300550	-0.065045	0.951546	0.441668	-0.893746	0.078409	0.845340	0.443833	0.297343
10842		10.731068	0.410296	2.874325	0.197897	-0.137536	-0.250851	0.999991	0.002474	-0.001719	-0.003136	-0.300373	-0.058221	0.952043	0.444098	-0.891882	0.085573	0.844128	0.448505	0.293753
10843		10.921127	0.667505	3.273826	0.177486	-0.219204	-0.306025	0.999986	0.002219	-0.002740	-0.003825	-0.299019	-0.048954	0.952991	0.445532	-0.890311	0.094060	0.843854	0.452713	0.288031
10844		10.771271	-0.059466	3.497202	0.271134	-0.327958	-0.394367	0.999974	0.003389	-0.004099	-0.004930	-0.296343	-0.036948	0.954367	0.448507	-0.887601	0.104904	0.843221	0.459128	0.279606
10845		10.439291	-0.363522	3.303672	0.837214	-0.334967	-0.454834	0.999920	0.010465	-0.004187	-0.005685	-0.294266	-0.023692	0.955430	0.462876	-0.878155	0.120787	0.836154	0.477789	0.269378
10846		9.901200	0.197658	3.268075	1.223818	-0.354361	-0.483179	0.999855	0.015297	-0.004429	-0.006039	-0.292286	-0.009859	0.956280	0.484837	-0.863442	0.139288	0.824319	0.504352	0.257152
10847		9.725884	0.389019	3.122151	1.379505	-0.302607	-0.469377	0.999827	0.017243	-0.003782	-0.005867	-0.291584	0.002810	0.956541	0.509607	-0.845807	0.157829	0.809493	0.533481	0.245192
10848		9.637833	0.145774	2.871940	1.444402	-0.189737	-0.385587	0.999823	0.018054	-0.002372	-0.004820	-0.292482	0.011806	0.956198	0.535699	-0.826274	0.174062	0.792137	0.563144	0.235346
10849		9.373464	0.287817	2.539246	1.548292	-0.112294	-0.244401	0.999807	0.019352	-0.001404	-0.003055	-0.293129	0.016201	0.955936	0.564192	-0.804273	0.186634	0.771857	0.594039	0.226615
10850		9.225939	0.156591	1.832549	1.648380	-0.030763	-0.063103	0.999787	0.020603	-0.000385	-0.000789	-0.292704	0.015249	0.956082	0.595109	-0.779722	0.194628	0.748445	0.625941	0.219153
10851		9.316437	0.462022	1.532873	1.744160	0.006653	0.118601	0.999761	0.021800	0.000083	0.001482	-0.289969	0.010007	0.956984	0.628014	-0.752549	0.198160	0.722160	0.658460	0.211932
10852		9.643821	0.979691	1.283146	1.664817	-0.055203	0.254716	0.999778	0.020809	-0.000690	0.003184	-0.283354	0.003102	0.959010	0.659476	-0.725399	0.197198	0.696277	0.688322	0.203499
10853		9.681076	1.842794	1.300391	1.319408	-0.200534	0.395371	0.999849	0.016492	-0.002507	0.004942	-0.271366	-0.003208	0.962471	0.685063	-0.703052	0.190808	0.676054	0.711132	0.192982
10854		9.652455	1.676214	1.182011	0.879496	-0.263055	0.540398	0.999911	0.010993	-0.003288	0.006755	-0.255667	-0.010064	0.966713	0.703552	-0.687754	0.178909	0.663060	0.725874	0.182916
10855		9.469181	1.294362	1.369811	0.641028	-0.265113	0.624300	0.999932	0.008013	-0.003314	0.007804	-0.238266	-0.017802	0.971037	0.718121	-0.676365	0.163808	0.653859	0.736351	0.173938
10856		9.126842	1.051262	0.912145	0.692407	-0.247830	0.700291	0.999919	0.008655	-0.003098	0.008753	-0.219576	-0.026902	0.975224	0.733495	-0.663644	0.146843	0.643251	0.747565	0.165453
10857		8.371200	1.725702	0.899230	0.756346	-0.279614	0.746539	0.999906	0.009454	-0.003495	0.009331	-0.199163	-0.035460	0.979325	0.749681	-0.649114	0.128957	0.631120	0.759864	0.155863
10858		8.460748	2.276188	1.635029	0.444812	-0.363394	0.675010	0.999939	0.005560	-0.004542	0.008437	-0.178856	-0.040555	0.983039	0.760049	-0.640164	0.111875	0.624769	0.767167	0.145321
10859		9.654069	2.059288	3.220935	-0.023818	-0.424730	0.562780	0.999961	-0.000298	-0.005309	0.007035	-0.160229	-0.042308	0.986173	0.762213	-0.640111	0.096380	0.627182	0.767117	0.134812
10860		10.811457	1.402350	4.321728	-0.064348	-0.490968	0.548986	0.999957	-0.000804	-0.006137	0.006862	-0.141585	-0.042727	0.989004	0.763279	-0.640897	0.081582	0.630364	0.766437	0.123354
10861		11.170585	1.691806	4.557885	0.338757	-0.400891	0.566612	0.999953	0.004234	-0.005011	0.007083	-0.124826	-0.045575	0.991131	0.770238	-0.634137	0.067847	0.625421	0.771876	0.114260
10862		10.825255	2.337301	4.954851	0.295867	-0.282207	0.474108	0.999969	0.003698	-0.003528	0.005926	-0.112520	-0.049784	0.992402	0.775938	-0.628277	0.056459	0.620692	0.776395	0.109323
10863		10.524135	2.245208	4.913360	0.259861	-0.199944	0.315267	0.999984	0.003248	-0.002499	0.003941	-0.105619	-0.053386	0.992973	0.780348	-0.623384	0.049488	0.616361	0.780091	0.107501
10864		10.188210	2.503040	4.563143	0.257551	-0.066943	0.196944	0.999991	0.003219	-0.000837	0.002462	-0.103986	-0.058000	0.992886	0.784209	-0.618791	0.045984	0.611722	0.783412	0.109830
